BPG	P2G	P3G	ADP	DHAP	E4P	F6P	FBP	GAP	NADPH	PEP	PHI	R5P	Ru5P	RuBP	S7P	SBP	Xu5P	PYR	ATP	NADP	O2	CO2_cax	CO2_cyt	ACCOA	NADH	NAD	COA	PPool
8.913630E-04	7.739869E-02	3.414811E+00	3.195069E-01	3.151579E+00	1.804269E-03	1.006978E+00	1.226487E-01	5.154908E-01	2.304766E-01	2.661980E-01	1.902996E+00	3.558786E-02	1.159045E-02	6.915811E+00	1.997400E-01	1.443490E-04	5.169679E-02	8.361760E+00	8.984610E-01	1.580683E-02	2.730000E-01	1.500000E-01	1.360000E-02	1.519852E-02	1.250377E-03	5.129385E-02	4.508642E+00	2.093296E+00
1.869023E-02	1.577156E-01	5.601541E+00	5.940402E-01	2.414539E-02	2.065000E-01	7.461007E-01	1.943514E-02	4.196050E+01	1.272709E+00	2.772252E-01	1.687359E+00	9.778029E-02	1.774052E-02	3.710829E+00	1.277055E-01	1.116348E-04	6.648043E-01	3.450642E-02	7.651450E+00	1.026206E-01	2.730000E-01	1.500000E-01	1.360000E-02	3.568083E-01	4.154637E-03	2.960190E-01	2.387894E-02	1.856095E+00
5.147355E-04	5.208903E-01	4.702890E+00	1.082972E+00	2.308299E+00	4.801766E-03	9.764556E-01	5.377338E-01	3.243988E+00	6.138259E-01	2.561224E-01	3.799459E+00	3.820561E-02	1.004304E-02	2.881332E+00	5.498344E-02	5.301937E-04	3.937803E-02	8.122186E-01	4.413989E+00	2.233763E-02	2.730000E-01	1.500000E-01	1.360000E-02	7.932523E-03	7.604454E-03	2.280856E-02	2.180976E+01	4.179405E+00
1.281306E-02	2.956133E-01	2.938239E+00	2.968460E-01	8.789744E-02	1.312877E+00	1.357236E+00	8.124971E-02	6.031325E+01	8.042091E-01	5.738643E-01	1.249408E+00	1.085345E-01	9.533129E-03	8.692774E+00	1.137144E-01	5.321038E-04	5.718976E-01	4.732255E-03	2.999936E+00	4.248474E-02	2.730000E-01	1.500000E-01	1.360000E-02	8.826414E-01	8.557010E-03	5.062732E-01	2.203613E-04	1.374349E+00
8.476163E-03	2.033956E-01	7.213070E+00	3.967706E+00	3.565640E+00	1.107883E-01	1.380595E+00	5.331634E-02	5.431278E-01	2.493181E-01	4.716599E-01	3.879261E+00	7.662359E-02	2.493051E-02	5.241642E+00	1.190171E-01	5.726192E-04	1.010732E-01	2.522779E-03	1.244324E+01	1.945718E-02	2.730000E-01	1.500000E-01	1.360000E-02	7.181446E-01	2.385475E-04	1.185767E-02	1.466265E+00	4.267187E+00
1.887634E-02	1.272137E-01	9.360836E+00	2.957193E-01	5.921604E+00	3.267219E-03	5.676203E-01	9.837996E-01	3.596424E+00	2.703612E+00	3.653877E-01	1.214315E+01	3.734152E-02	1.130321E-02	7.108402E-01	6.424971E-01	3.072129E-03	3.414474E+00	5.134983E-03	1.391339E+00	1.207652E-01	2.730000E-01	1.500000E-01	1.360000E-02	7.213842E-03	3.319035E-02	1.608048E-01	3.645479E-02	1.335747E+01
1.573927E-04	1.225278E-01	6.910258E+00	4.050447E+00	4.507198E-01	5.161893E-02	5.711963E-01	4.883108E-02	2.307807E+00	3.655078E-01	1.892016E-01	1.187044E+00	7.632564E-02	2.671742E-02	8.707949E-01	1.068921E-01	1.130924E-04	2.638341E-01	1.345660E-01	5.939789E-01	1.386626E-02	2.730000E-01	1.500000E-01	1.360000E-02	8.105233E-03	1.968209E-03	1.243329E-01	5.639767E+01	1.305748E+00
7.780727E-03	6.404997E-02	8.084225E+00	1.255636E+00	1.790186E+00	1.604763E-02	3.042251E+00	2.457168E+00	1.107615E+01	4.474194E-01	3.310344E-01	1.052816E+00	4.328170E-02	8.214396E-03	5.691901E+00	1.298684E-01	1.358503E-04	1.825393E-01	4.665618E+00	5.746176E+00	2.039896E-01	2.730000E-01	1.500000E-01	1.360000E-02	7.519759E-01	8.623288E-03	4.379123E-01	1.191489E-02	1.158098E+00
1.411568E-02	2.257283E-01	2.702268E+00	1.366427E+00	2.828125E+00	3.422051E-01	6.054249E-01	3.807991E-02	2.268858E+01	8.551666E+00	6.733718E-01	1.627106E+00	5.837548E-02	9.991746E-03	6.768444E+00	2.459775E-01	5.137818E-04	6.021215E-02	8.677951E-04	1.997025E+01	6.556561E-01	2.730000E-01	1.500000E-01	1.360000E-02	1.021078E-02	1.993734E-02	4.035541E-01	6.246414E+00	1.789817E+00
1.193064E-03	4.598839E-01	3.814186E+00	1.596173E-01	8.161055E-01	1.783720E-01	1.371129E+00	2.162027E-02	7.174250E+00	1.333806E+01	4.336885E-01	1.227239E+00	4.955935E-02	9.167658E-03	6.112558E+00	3.863092E+00	4.053693E-04	1.876407E-01	1.832231E-04	2.401611E-01	6.066681E-01	2.730000E-01	1.500000E-01	1.360000E-02	1.182597E-01	2.322015E-04	7.562028E-03	3.406087E-04	1.349963E+00
2.546311E-02	1.174862E-01	1.084607E+01	6.338898E-01	7.077721E-02	7.905441E-01	2.224464E+00	1.539024E+00	3.078827E+01	5.651798E-01	3.774966E-01	5.066985E+00	1.483557E-01	2.754081E-02	1.177283E-01	1.262988E+00	4.797916E-03	2.549076E-01	3.084113E-03	9.148472E+00	2.831587E-02	2.730000E-01	1.500000E-01	1.360000E-02	4.712529E-01	1.883665E-03	6.957708E-03	2.602107E-02	5.573684E+00
6.156323E-03	6.283909E-01	4.097200E+00	1.866034E+00	4.892142E+00	2.246312E-02	2.438270E-01	4.108950E+00	2.047667E+00	5.268624E-01	1.095446E+00	1.824566E+00	1.094759E-01	9.318244E-03	4.650544E-01	2.088046E-01	3.241902E-04	3.950772E-02	1.534766E+01	5.881390E+00	2.139566E-02	2.730000E-01	1.500000E-01	1.360000E-02	1.206622E-01	2.078527E-02	1.213576E-01	3.782040E-02	2.007023E+00
1.552196E-02	5.930678E-02	6.639110E+00	1.767907E-01	2.477685E-01	1.787218E-01	2.147541E+00	2.651399E-02	6.070114E+00	6.855462E-01	2.079779E-01	1.230592E+00	1.365142E-01	1.058892E-02	1.030294E-01	2.431811E-01	1.516182E-04	3.214310E-01	7.161583E+00	1.411629E+00	4.882231E-01	2.730000E-01	1.500000E-01	1.360000E-02	4.721082E-02	2.702829E-03	6.191922E-02	4.154217E+00	1.353651E+00
