Organism	Study	KEGG_ID	metabolite	concentration
PCC 6803	Dempo_2014	C00647		0.019912924
PCC 6803	Dempo_2014	C00655		0.020565094
PCC 6803	Hasunuma_2013	C00719		0.00782604
PCC 6803	Hasunuma_2013	C00791		0.00130434
PCC 6803	Dempo_2014	C00864		0.0021347698
PCC 6803	Yoshikawa_2013_Mixotrophic	C00942		0.0043478
PCC 6803	Shastri_2007	C00988		0.043478
PCC 6803	Dempo_2014	C01094		0.004869536
PCC 6803	Dempo_2014	C01157		0.40304106
PCC 6803	Dempo_2014	C01182	RuBP	0.12695576
PCC 6803	Shastri_2007	C01182	RuBP	4.391278
PCC 6803	Yoshikawa_2013_Autotrophic	C01182	RuBP	1.5130344
PCC 6803	Yoshikawa_2013_Mixotrophic	C01182	RuBP	0.521736
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C01182	RuBP	0.8217342
PCC 6803	Shastri_2007	C01236		0.043478
PCC 6803	Dempo_2014	C01879		1.2217318
PCC 6803	Hasunuma_2013	C02094		0.369563
PCC 6803	Dempo_2014	C02504		0.17869458
PCC 6803	Hasunuma_2013	C02504		0.0391302
PCC 6803	Hasunuma_2013	C05306		1.260862
PCC 6803	Dempo_2014	C05382	S7P	1.5521646
PCC 6803	Hasunuma_2013	C05382	S7P	0.0956516
PCC 6803	Shastri_2007	C05382	S7P	0.043478
PCC 6803	Yoshikawa_2013_Autotrophic	C05382	S7P	0.108695
PCC 6803	Yoshikawa_2013_Mixotrophic	C05382	S7P	0.3434762
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C05382	S7P	1.0391242
PCC 6803	Hasunuma_2013	C06098		0.369563
PCC 6803	Hasunuma_2013	C08591		0.0108695
PCC 6803	Hasunuma_2013	C08592		0.2347812
PCC 6803	Dempo_2014	C11434		0.036434564
PCC 6803	Dempo_2014	C11811		0.040304106
PCC 6803	Hasunuma_2013	C15968		0.02260856
