R1	B
R10	A
R100	A
R101	A
R102	A
R105	F
R106	A
R107	D
R108	A
R109	A
R11	A
R110	A
R111	F
R12	A
R13	B
R130	D
R131	A
R132	A
R133	D
R134	F
R135	A
R136	F
R137	D
R138	F
R139	A
R14	B
R140	F
R141	D
R143	F
R144	A
R145	B
R146	B
R147	A
R148	D
R149	F
R15	A
R150	D
R152	A
R154	B
R155	D
R157	A
R158	A
R16	F
R160	D
R17	B
R175	A
R18	D
R182	B
R183	B
R185	D
R186	F
R187	D
R188	D
R189	F
R19	B
R190	A
R191	B
R192	B
R193	B
R194	F
R196	A
R197	F
R198	F
R199	B
R20	A
R200	B
R201	B
R202	A
R206	B
R207	B
R208	B
R209	A
R21	B
R210	D
R211	F
R212	A
R213	B
R214	F
R215	F
R216	F
R218	B
R219	B
R22	F
R220	B
R221	D
R223	C
R224	B
R226	B
R228	B
R230	B
R231	B
R232	F
R233	B
R234	C
R236	C
R237	C
R238	C
R239	E
R24	D
R240	D
R241	F
R242	F
R244	F
R246	F
R248	F
R249	F
R25	B
R250	F
R253	B
R255	F
R257	F
R258	F
R259	F
R260	A
R261	D
R262	D
R263	D
R266	F
R267	D
R27	B
R274	B
R275	B
R277	B
R278	B
R279	B
R28	D
R280	B
R282	A
R284	B
R285	B
R286	B
R287	B
R288	B
R289	B
R29	B
R290	B
R291	B
R292	B
R293	B
R294	B
R295	B
R297	B
R298	B
R299	B
R3	B
R30	B
R300	B
R301	D
R302	F
R303	F
R304	D
R305	A
R307	D
R310	F
R314	F
R315	A
R32	A
R33	A
R354	A
R36	B
R37	B
R376	A
R377	F
R378	A
R379	F
R38	F
R380	A
R381	A
R382	A
R383	F
R384	F
R386	B
R387	D
R389	F
R39	D
R390	A
R392	F
R393	F
R394	F
R395	F
R396	A
R397	F
R398	D
R399	F
R4	A
R400	F
R401	F
R402	F
R403	F
R404	F
R405	F
R406	B
R407	F
R408	F
R409	F
R41	B
R410	D
R411	F
R412	F
R413	F
R414	F
R415	F
R418	B
R419	B
R420	B
R42	D
R421	B
R422	B
R423	B
R424	B
R425	C
R427	B
R428	B
R429	B
R43	F
R430	B
R431C	A
R431O	A
R432	B
R433	B
R434	A
R435	F
R436	B
R437	A
R439	A
R44	B
R441	D
R45	B
R46	B
R47	B
R478	F
R479	F
R48	D
R481	A
R49	A
R494	B
R495	B
R496	B
R499	F
R5	A
R50	A
R500	A
R501	F
R502	F
R503	A
R504	B
R505	B
R506	F
R507	B
R508	C
R509	C
R51	F
R510	A
R511	F
R512	B
R515	B
R516	F
R517	B
R518	F
R519	F
R52	A
R520	B
R523	F
R524	B
R526	A
R527	A
R528	B
R529	A
R53	B
R530	D
R531	C
R533	A
R534	F
R535	F
R536	F
R537	D
R538	B
R539	A
R540	B
R541	A
R542	F
R543	B
R544	B
R545	B
R546	B
R547	D
R548	D
R550	F
R551	F
R552	A
R553	F
R554	F
R555	F
R557	D
R559	F
R56	A
R560	A
R561	F
R562	F
R563	F
R565	F
R567	A
R568	F
R569	F
R57	A
R570	F
R571	F
R573	D
R575	F
R576	A
R577	D
R578	D
R58	A
R580	F
R581	D
R582	F
R583	B
R584	B
R585	A
R586	F
R587	F
R588	B
R59	A
R590	F
R591	F
R592	F
R593	A
R594	A
R595	A
R596	F
R597	F
R598	A
R599	A
R6	B
R60	D
R600	A
R601	A
R602	F
R603	F
R605	B
R606	A
R607	F
R608	F
R609	A
R61	B
R610	B
R611	A
R612	F
R613	A
R614	A
R615	F
R616	D
R617	F
R618	A
R619	A
R62	F
R620	A
R621	F
R622	F
R623	F
R624	A
R625	F
R626	D
R627	A
R628	A
R629	F
R63	F
R630	F
R631	F
R632	F
R633	F
R64	A
R643	F
R644	F
R648	D
R649	F
R65	B
R650	F
R651	F
R652	A
R653	A
R654	B
R655	A
R656	F
R657	A
R658	A
R659	A
R66	A
R660	A
R661	A
R662	A
R663	A
R664	A
R665	F
R667	F
R668	F
R68	B
R69	B
R7	A
R70	B
R71	B
R72	A
R73	B
R730	A
R731	F
R732	F
R733	F
R734	B
R735	A
R736	A
R737	F
R738	F
R74	C
R741	A
R742	A
R743	B
R744	A
R75	C
R757	F
R758	D
R76	B
R77	A
R78	B
R8	B
R80	F
R81	B
R9	B
R91	A
R92	F
R93	A
R94	A
R95	A
R96	A
R97	A
R98	A
R99	A
RGX1	B
RGX2	D
