R1	sll0402
R2	sll1958
R3	sll0402
R4	sll0934
R5	slr2130
R6	sll1112
R7	slr1559
R8	sll1669
R9	slr0444
R10	sll1747
R11	slr0055
R11	slr0738
R12	slr0055
R12	slr0738
R13	slr1867
R14	sll0356
R15	slr0546
R16	slr0543
R16	slr0966
R17	slr0543
R17	slr0966
R18	slr0543
R18	slr0966
R19	sll0109
R20	sll1662
R21	slr2081
R22	sll0938
R23	slr1022
R24	sll1027
R24	sll1502
R25	slr0288
R26	slr1756
R27	slr2079
R28	slr0710
R29	slr2035
R30	sll0373
R31	sll0461
R32	sll1561
R33	sll1561
R34	sll1561
R35	sll1561
R36	slr0661
R37	sll1883
R38	sll1883
R39	sll0100
R40	slr1653
R42	slr1898
R43	sll0080
R44	sll0902
R45	slr1133
R46	slr0585
R47	sll0370
R47	sll1498
R47	slr1616
R48	sll0573
R49	sll1454
R50	slr0898
R51	sll1499
R52	sll1336
R53	slr1022
R54	slr0782
R55	slr0782
R57	sll1077
R57	sll0228
R58	sll0420
R58	sll1750
R58	slr1256
R59	sll0428
R59	sll0191
R60	slr0661
R61	sll1561
R62	sll0402
R63	sll0107
R64	slr0662
R64	slr1312
R65	slr2072
R66	sll1172
R67	sll1688
R68	sll1760
R69	sll0455
R70	slr0549
R71	slr0657
R72	slr0550
R73	sll1058
R74	sll0480
R75	slr1665
R76	sll0504
R78	sll0422
R79	sll0585
R80	sll0776
R81	sll1713
R91	slr1255
R92	slr1255
R93	slr1254
R94	slr1254
R95	sll0033
R95	slr0940
R96	sll0033
R96	slr0940
R97	sll0147
R98	sll0147
R99	sll1468
R100	sll1468
R101	sll1468
R102	slr0088
R103	sll0179
R104	slr1808
R105	sll0017
R106	sll1994
R107	slr1887
R108	sll0166
R109	slr0536
R110	sll1185
R111	sll1876
R112	sll1917
R113	sll1237
R114	slr1790
R115	slr1030
R115	slr1055
R115	slr1777
R116	slr0525
R117	sll1874
R118	slr0905
R119	sll1214
R120	sll1874
R121	slr0905
R122	sll1214
R123	sll1874
R124	slr0905
R125	sll1214
R126	slr1923
R127	slr0506
R128	slr0749
R128	slr0750
R128	slr0772
R129	slr0056
R130	slr2141
R131	slr0426
R132	sll1076
R132	slr0787
R132	slr0920
R133	sll1076
R133	slr0787
R133	slr0920
R134	slr1626
R135	slr0091
R136	slr1093
R137	slr2026
R138	slr2026
R139	slr0887
R140	slr1979
R141	sll1612
R142	sll1612
R143	slr2026
R144	sll0070
R145	sll0753
R146	sll0753
R149	slr0600
R150	slr0051
R151	slr1347
R152	slr1622
R153	sll0290
R154	sll0290
R155	slr1239
R155	slr1434
R156	slr1516
R157	sll1987
R158	slr1171
R159	slr1992
R160	slr0600
R160	slr1562
R160	ssr2061
R162	sll1973
