NAME	Min	Max
BPG	0.0001	0.0905373
P2G	0.0327963	0.836828
P3G	0.242579	11.5148
ADP	0.0427715	4.1867
DHAP	0.0222383	6.19442
E4P	0.00102107	99.9998
F6P	0.172823	4.79236
FBP	0.0162942	7.06937
GAP	0.0214946	100
NADPH	0.0378572	27.7303
PEP	0.170069	2.99344
PHI	1	20
R5P	0.0253747	0.158798
Ru5P	0.00765143	0.0694708
RuBP	0.0592774	11.2311
S7P	0.014547	4.33294
SBP	0.0001	99.4623
Xu5P	0.0297951	14.8887
ATP	0.030121	43.4319
NADP	0.0378572	27.7303
O2	0.273	0.273
CO2	0.15	0.15
PYR	0.0001	100
